query,label
What is the current savings account interest rate?,informative
How do I transfer money to a new account?,transactional
Can I apply for a home loan with a 650 credit score?,informative
Please help me open a new savings account,transactional
How much does it cost to close a checking account?,informative
Can I get a personal loan without a credit check?,informative
How do I update my contact details on my bank account?,transactional
What are the fees for overdrawing my account?,informative
Send $250 to my friend Mike via bank transfer,transactional
How can I get a loan for home renovation?,informative
Transfer $1000 from my savings to my checking account,transactional
How do I dispute an incorrect transaction?,informative
What is the minimum deposit for opening a checking account?,informative
Can I link my bank account to my PayPal account?,informative
How do I transfer funds between different accounts?,transactional
Can I get a loan if I’m self-employed?,informative
Please send $500 to my mortgage account,transactional
What are the options for joint accounts?,informative
How do I schedule automatic payments for my bills?,transactional
What is the process for a business loan application?,informative
Can I increase my credit card limit?,informative
Send $200 to my daughter’s college fund,transactional
How do I check the status of my personal loan?,informative
How do I withdraw money from my fixed deposit?,transactional
What is the process for transferring my credit card balance?,informative
Can I set up automatic savings deposits?,transactional
How can I get a car loan?,informative
Please pay my monthly utility bill of $120,transactional
What are the current rates for home equity loans?,informative
How can I close my savings account?,transactional
How do I open an international bank account?,informative
What is the current exchange rate for GBP to USD?,informative
Transfer $150 to my credit card bill,transactional
How can I get a student loan?,informative
Can I transfer money to another country?,transactional
What are the fees for international wire transfers?,informative
Please open a new business checking account,transactional
How can I request a replacement debit card?,transactional
What is the interest rate for a 30-year fixed mortgage?,informative
Send $750 to my rent account,transactional
What do I need to apply for a business loan?,informative
How do I get a loan for a wedding?,informative
Can I make early payments for my car loan?,informative
Please update my email address on my account,transactional
How do I get a line of credit?,informative
Can I change the address on my credit card account?,transactional
Transfer $1200 to my child’s savings account,transactional
How do I withdraw funds from my retirement account?,informative
What are the options for a credit card with no annual fee?,informative
Please help me dispute a charge on my debit card,transactional
How do I check my account balance?,transactional
Can I increase the limit on my ATM card?,informative
How do I set up mobile alerts for my account?,transactional
Send $100 to my mom’s account for her birthday,transactional
What is the penalty for withdrawing from a time deposit early?,informative
Can I get a pre-approved credit card?,informative
How do I apply for an auto loan?,informative
What is the difference between a secured and unsecured loan?,informative
Please pay my credit card balance of $200,transactional
How can I transfer money to an overseas account?,transactional
What is the procedure for applying for a home loan?,informative
Send $1000 to my husband’s account,transactional
What is the minimum balance required to open a fixed deposit?,informative
Can I apply for a business loan without collateral?,informative
How do I cancel a bank draft?,transactional
Please set up automatic payments for my credit card,transactional
How do I get a credit report?,informative
How can I reduce the interest rate on my loan?,informative
How do I access my bank account online?,transactional
Can I set up a payment plan for my credit card debt?,informative
What are the fees for an international money transfer?,informative
Transfer $3000 to my student loan account,transactional
How do I apply for a line of credit?,informative
How can I link my bank account to my mobile wallet?,informative
Please update my phone number on my account,transactional
How do I transfer funds from my checking to my savings account?,transactional
How do I apply for a home equity loan?,informative
Can I use my credit card to pay for a loan?,informative
Send $500 to my car loan account,transactional
What are the minimum requirements to qualify for a loan?,informative
How do I close a joint account?,transactional
Can I add a cosigner to my loan?,informative
How do I check if my loan has been approved?,informative
Can I make a cash deposit into my account?,transactional
What is the difference between a checking and a savings account?,informative
How do I check my credit card statement?,transactional
What is the best way to save for retirement?,informative
Please help me set up a recurring transfer,transactional
What is the maximum withdrawal limit for ATMs?,informative
Can I get a loan to consolidate my debt?,informative
Please send $200 to my son’s college account,transactional
What are the options for student loan repayment?,informative
How can I set up a joint savings account?,transactional
How do I set up bill pay for utilities?,transactional
Can I transfer my loan from one bank to another?,informative
What are the eligibility criteria for a home loan?,informative
Send $100 to my friend Sarah for dinner,transactional
How do I report fraudulent activity on my account?,informative
Can I link multiple bank accounts to my PayPal?,informative
How can I change my account type?,transactional
How do I check the balance on my credit card?,transactional
What is the process for refinancing my mortgage?,informative
How do I apply for a small business loan?,informative
Can I get a loan for a vacation?,informative
Please send $1500 to my investment account,transactional
What is the maximum amount I can withdraw from my account?,informative
How do I dispute a transaction on my credit card?,transactional
How do I set up a savings goal?,informative
Can I open a second account with the same bank?,informative
Please pay my electric bill of $75,transactional
How do I transfer funds to a different country?,transactional
What is the penalty for early withdrawal from a savings account?,informative
Can I make a partial loan repayment?,informative
Please transfer $500 to my business account,transactional
What is the best way to manage my finances?,informative
How do I close my business checking account?,transactional
Can I get a loan with bad credit?,informative
How do I change my bank account details?,transactional
Can I apply for a loan online?,informative
Please send $2500 to my retirement account,transactional
How do I set up a direct deposit?,informative
What is the best way to save for my children’s education?,informative
Send $50 to my friend Ben for concert tickets,transactional
How do I open an account for my minor child?,transactional
Can I get a loan with a co-applicant?,informative
What are the different types of credit cards available?,informative
How do I get a loan for buying a car?,informative
How can I set up an emergency savings fund?,informative
Send $400 to my credit card,transactional
What is the difference between a debit card and a credit card?,informative
Please help me set up a recurring deposit,transactional
How to send money ,informative
How to send money ,informative
how to send money,informative
i want to start Internet banking,informative
How can i open my current account,informative
How can i open my current account,informative
I want to add beneficiary,transactional
I want to add beneficiary,transactional
please add new beneficiary,transactional
What is Current account,informative
How to open government scheme?,informative
I want to withdraw amount,transactional
